id,word,zhuyin,pinyin,meaning_ja
1,我們,ㄨㄛˇ ˙ㄇㄣ,wǒ men,私たち
2,臺灣,ㄊㄞˊ ㄨㄢ,tái wān,台湾
3,可以,ㄎㄜˇ ㄧˇ,kě yǐ,〜できる、〜してもよい
4,自己,ㄗˋ ㄐㄧˇ,zì jǐ,自分、自身
5,他們,ㄊㄚ ˙ㄇㄣ,tā men,彼ら、彼ら彼女ら
6,沒有,ㄇㄟˊ ㄧㄡˇ,méi yǒu,ない、〜しなかった
7,因為,ㄧㄣ ㄨㄟˋ,yīn wèi,〜なので、なぜなら
8,可能,ㄎㄜˇ ㄋㄥˊ,kě néng,おそらく、〜かもしれない
9,如果,ㄖㄨˊ ㄍㄨㄛˇ,rú guǒ,もし〜ならば
10,問題,ㄨㄣˋ ㄊㄧˊ,wèn tí,問題、質問
11,因此,ㄧㄣ ㄘˇ,yīn cǐ,したがって、それゆえ
12,生活,ㄕㄥ ㄏㄨㄛˊ,shēng huó,生活、暮らす
13,什麼,ㄕㄣˊ ˙ㄇㄜ,shén me,何
14,工作,ㄍㄨㄥ ㄗㄨㄛˋ,gōng zuò,仕事、働く
15,孩子,ㄏㄞˊ ˙ㄗ,hái zi,子ども
16,美國,ㄇㄟˇ ㄍㄨㄛˊ,měi guó,アメリカ
17,廣告,ㄍㄨㄤˇ ㄍㄠˋ,guǎng gào,広告
18,經濟,ㄐㄧㄥ ㄐㄧˋ,jīng jì,経済
19,社會,ㄕㄜˋ ㄏㄨㄟˋ,shè huì,社会
20,活動,ㄏㄨㄛˊ ㄉㄨㄥˋ,huó dòng,イベント、活動
21,開始,ㄎㄞ ㄕˇ,kāi shǐ,始まる、始める
22,大陸,ㄉㄚˋ ㄌㄨˋ,dà lù,大陸（中国本土）
23,世界,ㄕˋ ㄐㄧㄝˋ,shì jiè,世界
24,日本,ㄖˋ ㄅㄣˇ,rì běn,日本
25,國小,ㄍㄨㄛˊ ㄒㄧㄠˇ,guó xiǎo,小学校（国民小学）
26,但是,ㄉㄢˋ ˙ㄕ,dàn shi,しかし、だが
27,發展,ㄈㄚ ㄓㄢˇ,fā zhǎn,発展する、発展
28,時間,ㄕˊ ㄐㄧㄢ,shí jiān,時間
29,市場,ㄕˋ ㄔㄤˊ,shì cháng,市場、マーケット
30,朋友,ㄆㄥˊ ㄧㄡˇ,péng yǒu,友達
31,公司,ㄍㄨㄥ ㄙ,gōng sī,会社
32,電影,ㄉㄧㄢˋ ㄧㄥˇ,diàn yǐng,映画
33,兒童,ㄦˊ ㄊㄨㄥˊ,ér tóng,児童、子ども
34,中國,ㄓㄨㄥ ㄍㄨㄛˊ,zhōng guó,中国
35,小朋友,ㄒㄧㄠˇ ㄆㄥˊ ㄧㄡˇ,xiǎo péng yǒu,子どもたち、お友達
36,由於,ㄧㄡˊ ㄩˊ,yóu yú,〜のために、〜によって
37,所以,ㄙㄨㄛˇ ㄧˇ,suǒ yǐ,だから、したがって
38,知道,ㄓ ㄉㄠˋ,zhī dào,知っている、分かる
39,現在,ㄒㄧㄢˋ ㄗㄞˋ,xiàn zài,現在、今
40,許多,ㄒㄩˇ ㄉㄨㄛ,xǔ duō,多くの、たくさん
41,政府,ㄓㄥˋ ㄈㄨˇ,zhèng fǔ,政府
42,發現,ㄈㄚ ㄒㄧㄢˋ,fā xiàn,発見する、気づく
43,成為,ㄔㄥˊ ㄨㄟˊ,chéng wéi,〜になる
44,教育,ㄐㄧㄠˋ ㄩˋ,jiào yù,教育
45,雖然,ㄙㄨㄟ ㄖㄢˊ,suī rán,〜だけれども
46,認為,ㄖㄣˋ ㄨㄟˊ,rèn wéi,〜と思う、考える
47,企業,ㄑㄧˋ ㄧㄝˋ,qì yè,企業
48,地方,ㄉㄧˋ ㄈㄤ,dì fāng,場所、地方
49,必須,ㄅㄧˋ ㄒㄩ,bì xū,必ず〜しなければならない
50,如何,ㄖㄨˊ ㄏㄜˊ,rú hé,どのように、いかに
