id,word,zhuyin,pinyin,meaning_ja
1,你好,ㄋㄧˇ ㄏㄠˇ,nǐ hǎo,こんにちは
2,謝謝,ㄒㄧㄝˋ ㄒㄧㄝ˙,xiè xie,ありがとう
3,高鐵,ㄍㄠ ㄊㄧㄝˇ,gāo tiě,台湾新幹線
4,捷運,ㄐㄧㄝˊ ㄩㄣˋ,jié yùn,MRT（地下鉄）
5,夜市,ㄧㄝˋ ㄕˋ,yè shì,夜市（ナイトマーケット）
6,珍奶,ㄓㄣ ㄋㄞˇ,zhēn nǎi,タピオカミルクティー
7,多少錢,ㄉㄨㄛ ㄕㄠˇ ㄑㄧㄢˊ,duō shǎo qián,いくらですか
8,好吃,ㄏㄠˇ ㄔ,hǎo chī,美味しい
9,洗手間,ㄒㄧˇ ㄕㄡˇ ㄐㄧㄢ,xǐ shǒu jiān,お手洗い
10,沒關係,ㄇㄟˊ ㄍㄨㄢ ㄒㄧ˙,méi guān xi,大丈夫・気にしないで
11,歡迎光臨,ㄏㄨㄢ ㄧㄥˊ ㄍㄨㄤ ㄌㄧㄣˊ,huān yíng guāng lín,いらっしゃいませ
12,外帶,ㄨㄞˋ ㄉㄞˋ,wài dài,テイクアウト
13,內用,ㄋㄟˋ ㄩㄥˋ,nèi yòng,店内飲食
14,買單,ㄇㄞˇ ㄉㄢ,mǎi dān,お会計
15,不好意思,ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ˙,bù hǎo yì si,すみません
16,早安,ㄗㄠˇ ㄢ,zǎo ān,おはようございます
17,晚安,ㄨㄢˇ ㄢ,wǎn ān,おやすみなさい
18,方便,ㄈㄤ ㄅㄧㄢˋ,fāng biàn,便利である
19,朋友,ㄆㄥˊ ㄧㄡˇ,péng yǒu,友達
20,開心,ㄎㄞ ㄒㄧㄣ,kāi xīn,楽しい・嬉しい
