id,year,event,explanation
1,794年,平安京遷都,桓武天皇が平安京（京都）に都を移す
2,1185年,壇ノ浦の戦い,源氏が平氏を滅亡させ平氏政権が終焉
3,1192年,鎌倉幕府の成立,源頼朝が征夷大将軍に任命される
4,1274年,文永の役,元（モンゴル帝国）による最初の日本襲来（元寇）
5,1338年,室町幕府の成立,足利尊氏が征夷大将軍に任命される
6,1467年,応仁の乱,将軍継嗣問題等から始まり戦国時代の幕開けとなる
7,1575年,長篠の戦い,織田・徳川連合軍が鉄砲を用いて武田勝頼軍を撃破
8,1582年,本能寺の変,明智光秀が織田信長を討ち果たす
9,1600年,関ヶ原の戦い,徳川家康率いる東軍が石田三成らの西軍に勝利
10,1603年,江戸幕府の成立,徳川家康が征夷大将軍となり江戸幕府を開く
11,1635年,参勤交代の制度化,3代将軍徳川家光が武家諸法度を改正し義務化
12,1716年,享保の改革,8代将軍徳川吉宗が幕政の財政再建を推進
13,1853年,ペリー来航,アメリカの黒船4隻が浦賀に来航し開国を要求
14,1867年,大政奉還,15代将軍徳川慶喜が政権を朝廷に返上
15,1868年,明治維新,元号が明治となり近代国家建設が本格始動
16,1877年,西南戦争,西郷隆盛を中心とする士族最後の反乱
17,1889年,大日本帝国憲法発布,アジア初の近代憲法が発布される
18,1894年,日清戦争勃発,朝鮮の支配権をめぐり清国と開戦
19,1904年,日露戦争勃発,満州と朝鮮をめぐりロシア帝国と開戦
20,1945年,第二次世界大戦終結,ポツダム宣言を受諾し終戦を迎える
