id,word,meaning_ja,example
1,give up,あきらめる・断念する,Never give up on your dreams.
2,look forward to,〜を楽しみに待つ,I look forward to hearing from you.
3,make sense,理にかなっている・意味が通る,His explanation makes sense.
4,break down,故障する・挫折する,The car broke down on the highway.
5,keep in mind,〜を心に留めておく,Please keep in mind that time is limited.
6,run out of,〜を使い果たす・切らす,We ran out of coffee this morning.
7,figure out,理解する・解明する,I cannot figure out how to use this.
8,take advantage of,〜を利用する・活かす,Take advantage of this great opportunity.
9,catch up with,〜に追いつく,I need to catch up with my teammates.
10,come up with,〜を思いつく・提案する,She came up with a brilliant idea.
11,get along with,〜と仲良くやっていく,Do you get along with your colleagues?
12,put off,延期する,Never put off until tomorrow what you can do today.
13,call off,中止する・取り消す,They had to call off the outdoor concert.
14,turn down,断る・音量を下げる,He turned down the job offer.
15,bring about,もたらす・引き起こす,The new policy will bring about big changes.
16,by the way,ところで・ついでに,By the way, have you seen my keys?
17,so far so good,ここまでは順調である,How is the project? - So far so good!
18,as soon as possible,できるだけ早く,Please reply as soon as possible.
19,on the other hand,他方では・一方で,On the other hand, there is a risk.
20,in terms of,〜の観点から・〜に関しては,In terms of quality, this product is top.
